Step,Res_BundleA,Res_BundleB,Res_BundleC,SME,PUE
718,0.021002405,0,0,0,0
719,0.039357763,0,0,0,0
720,0.003773397,0,0,0,0
721,0.000565649,0,0,0,0
722,0.005358916,0,0,0,0
723,0.031379051,0,0,0,0
724,0.010883487,0,0,0,0
725,0.015494081,0,0,0,0
726,0.030170935,0,0,0,0
727,0.000673696,0,0,0,0
728,0.003041109,0,0,0,0
729,0.055952847,0,0,0,0
730,0.016922237,0,0,0,0
731,0.017678023,0,0,0,0
732,0.001946005,0,0,0,0
733,0.025322695,0,0,0,0
734,0.013891857,0,0,0,0
735,0.032284384,0,0,0,0
736,0.046703733,0,0,0,0
737,0.030137447,0,0,0,0
738,0.000538355,0,0,0,0
739,0.000270521,0,0,0,0
740,0.000520882,0,0,0,0
741,0.000787749,0,0,0,0
742,0.000620955,0,0,0,0
743,0.037098967,0,0,0,0
744,0.027445829,0,0,0,0
745,0.004937372,0,0,0,0
746,0.005083216,0,0,0,0
747,0.002484094,0,0,0,0
748,0.008981305,0,0,0,0
749,0.001352932,0,0,0,0
750,0.006737682,0,0,0,0
751,0.00076597,0,0,0,0
752,0.00725655,0,0,0,0
753,0.020230289,0,0,0,0
754,0.000872261,0,0,0,0
755,0.001902368,0,0,0,0
756,0.001557986,0,0,0,0
757,0.051468029,0,0,0,0
758,0.02360798,0,0,0,0
759,0.002930324,0,0,0,0
760,0.001218168,0,0,0,0
761,0.031225612,0,0,0,0
762,0.001747704,0,0,0,0
763,0.000148892,0,0,0,0
764,1.11E-05,0,0,0,0
765,0.000400834,0,0,0,0
766,0.002761175,0,0,0,0
767,0.021469312,0,0,0,0
768,0.017591808,0,0,0,0
769,0.004456056,0,0,0,0
770,0.004652435,0,0,0,0
771,0.024370399,0,0,0,0
772,0.029240847,0,0,0,0
773,2.75E-05,0,0,0,0
774,1.47E-06,0,0,0,0
775,0.050865298,0,0,0,0
776,0.004369361,0,0,0,0
777,0.031863232,0,0,0,0
778,0.001410277,0,0,0,0
779,0.012925026,0,0,0,0
780,0.000261433,0,0,0,0
781,0.000683188,0,0,0,0
782,0.021405179,0,0,0,0
783,0.007448196,0,0,0,0
784,0.004782651,0,0,0,0
785,0.039233843,0,0,0,0
786,0.001610265,0,0,0,0
787,0.002285608,0,0,0,0
788,0.021323201,0,0,0,0
789,0.000522331,0,0,0,0
790,0.004234488,0,0,0,0
